trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
682,False,"{'a': 0.2, 'e': 0.03320682008199072}",30,15,21.003583947443353,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.2, 'e': 0.03304120037588693}",25,14,19.702809562236464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.2, 'e': 0.03287640670151345}",25,13,23.520591518871182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.2, 'e': 0.03271243493901982}",25,10,27.216522045717447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.2, 'e': 0.03254928098910342}",30,16,28.824299768579,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.2, 'e': 0.03238694077290704}",25,0,-8.17438208800927,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
688,False,"{'a': 0.2, 'e': 0.0322254102319168}",25,12,21.036377996478002,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.2, 'e': 0.032064685327860776}",20,7,25.234407002800342,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.2, 'e': 0.03190476204260796}",20,9,18.430012703816637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.2, 'e': 0.03174563637806794}",20,5,10.64343155348371,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
692,False,"{'a': 0.2, 'e': 0.031587304356090785}",25,12,30.10990420668444,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.2, 'e': 0.03142976201836771}",20,16,4.600625341871386,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.2, 'e': 0.03127300542633206}",30,21,17.899463790735684,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.2, 'e': 0.03111703066106086}",20,15,-13.419519419588205,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
