trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.2, 'e': 0.3230332564222529}",20,14,1.841847663056578,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.31981902181630384}",30,6,-71.77524936796257,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.2, 'e': 0.31663676937905316}",20,0,-55.32552016255723,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
117,False,"{'a': 0.2, 'e': 0.3134861808826053}",20,0,30.821538011314914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.31036694126548503}",20,0,1.6392302866301975,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.30727873860113125}",20,4,-7.225267228890631,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.3042212640667041}",25,18,13.625682655719597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.30119421191220214}",20,2,-0.753243822416402,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.2981972794298874}",25,6,-7.8762134793472764,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.2, 'e': 0.2952301669240142}",30,5,-63.51287930665328,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",1
124,False,"{'a': 0.2, 'e': 0.2922925776808594}",25,6,-3.828486731405384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.2, 'e': 0.28938421793905067}",20,0,-57.78559076038611,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
126,False,"{'a': 0.2, 'e': 0.2865047968601901}",20,0,-54.39522189166254,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.28365402649977034}",25,10,5.096263033130183,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.2808316217783798}",20,0,-15.135821752954486,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.27803730045319414}",25,4,5.1435662791894785,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.27527078308975234}",20,6,-1.110191317256323,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.2725317930340126}",30,19,23.84583961279777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.2698200563846868}",20,0,7.005739475145088,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.2, 'e': 0.26713530196585034}",30,0,2.766405369841788,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.26447726129982396}",25,12,-47.968026158717265,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.2, 'e': 0.261845668580326}",25,15,-77.15708596586958,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
136,False,"{'a': 0.2, 'e': 0.2592402606458915}",20,6,11.348501951807034,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.2566607769535559}",20,10,15.353679595502912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.25410695955280027}",25,8,-67.78281604512169,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
139,False,"{'a': 0.2, 'e': 0.25157855305975646}",30,7,25.37052234880803,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.2490753046316682}",30,0,8.087063481620795,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.2, 'e': 0.24659696394160643}",35,13,-31.464761686913302,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
142,False,"{'a': 0.2, 'e': 0.2441432831534371}",25,0,-40.4461507189679,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.2, 'e': 0.24171401689703648}",25,0,-59.373481117146305,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
144,False,"{'a': 0.2, 'e': 0.23930892224375452}",35,21,-34.643207654129704,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
